 De 58 ate 4,  De 48 ate 85,  De 22 ate 19,  custa: inf
 custa: inf
 custa: inf
 De 58 ate 5,  custa: inf
 De 58 ate 6,  custa: inf
 De 22 ate 20,  custa: inf
 De 48 ate 86,  custa: inf
 De 58 ate 7,  custa: inf
 De 58 ate 8,  custa: inf
 De 58 ate 9,  custa: inf
 De 48 ate 87,  custa: inf
 De 58 ate 10,  custa: 11
 De 58 ate 11,  De 22 ate 21,  custa: inf
 custa: inf
 De 48 ate 88,  custa: inf
 De 58 ate 12,  custa: inf
 De 58 ate 13,  custa: inf
 De 22 ate 22,  custa: inf
 De 58 ate 14,  custa: inf
 De 22 ate 23,  custa: inf
 De 58 ate 15,  custa: inf
 De 22 ate 24,  custa: inf
 De 58 ate 16,  custa: inf
 De 48 ate 89,  custa: inf
 De 22 ate 25,  custa: inf
 De 58 ate 17,  custa: inf
 De 22 ate 26,  custa: inf
 De 58 ate 18,  custa: inf
 De 22 ate 27,  custa: inf
 De 48 ate 90,  custa: inf
 De 48 ate 91,  custa: 19
 De 22 ate 28,  custa: inf
 De 58 ate 19,  custa: inf
 De 58 ate 20,  custa: inf
 De 58 ate 21,  custa: inf
 De 22 ate 29,  custa: inf
 De 48 ate 92,  De 58 ate 22,  custa: 0
 custa: inf
 De 48 ate 93,  custa: 27
 De 22 ate 30,  custa: inf
 De 22 ate 31,  De 58 ate 23,  custa: inf
 custa: inf
 De 58 ate 24,  custa: inf
 De 22 ate 32,  custa: inf
 De 58 ate 25,  custa: inf
 De 58 ate 26,  custa: inf
 De 48 ate 94,  custa: inf
 De 58 ate 27,  custa: 19
 De 58 ate 28,  custa: inf
 De 58 ate 29,  custa: inf
 De 22 ate 33,  custa: inf
 De 48 ate 95,  custa: inf
 De 58 ate 30,  custa: inf
 De 58 ate 31,  custa: inf
 De 58 ate 32,  custa: inf
 De 48 ate 96,  custa: inf
 De 58 ate 33,  custa: inf
 De 22 ate 34,  custa: inf
 De 58 ate 34,  custa: inf
 De 48 ate 97,  custa: inf
 De 58 ate 35,  custa: inf
 De 58 ate 36,  custa: inf
 De 58 ate 37,  custa: inf
 De 22 ate 35,  custa: inf
 De 58 ate 38,  custa: inf
 De 58 ate 39,  custa: inf
 De 58 ate 40,  custa: inf
 De 22 ate 36,  custa: inf
 De 48 ate 98,  custa: inf
 De 22 ate 37,  custa: inf
 De 22 ate 38,  custa: inf
 De 58 ate 41,  custa: inf
 De 22 ate 39,  custa: inf
 De 58 ate 42,  custa: inf
 De 22 ate 40,  custa: inf
 De 58 ate 43,  custa: inf
 De 22 ate 41,  custa: inf
 De 48 ate 99,  custa: inf
 De 16 ate 82,  custa: inf
 De 22 ate 42,  custa: 35
 De 22 ate 43,  custa: inf
 De 58 ate 44,  custa: inf
 De 49 ate 0,  De 22 ate 44,  custa: inf
 custa: inf
 De 58 ate 45,  custa: inf
 De 58 ate 46,  custa: inf
 De 58 ate 47,  custa: inf
 De 22 ate 45,  custa: inf
 De 58 ate 48,  custa: inf
 De 22 ate 46,  custa: inf
 De 58 ate 49,  De 49 ate 1,  custa: inf
 custa: inf
 De 22 ate 47,  custa: inf
 De 22 ate 48,  custa: inf
 De 22 ate 49,  custa: inf
 De 22 ate 50,  custa: inf
 De 49 ate 2,  custa: inf
 De 22 ate 51,  custa: inf
 De 22 ate 52,  custa: inf
 De 58 ate 50,  custa: inf
 De 22 ate 53,  custa: inf
 De 58 ate 51,  custa: inf
 De 22 ate 54,  custa: inf
 De 58 ate 52,  custa: inf
 De 49 ate 3,  custa: inf
 De 58 ate 53,  custa: 11
 De 58 ate 54,  custa: inf
 De 58 ate 55,  custa: inf
 De 49 ate 4,  De 22 ate 55,  custa: inf
 custa: inf
 De 58 ate 56,  custa: inf
 De 58 ate 57,  custa: inf
 De 58 ate 58,  custa: 0
 De 22 ate 56,  custa: inf
 De 49 ate 5,  custa: inf
 De 49 ate 6,  custa: 20
 De 22 ate 57,  custa: inf
 De 22 ate 58,  custa: inf
 De 22 ate 59,  custa: inf
 De 58 ate 59,  custa: inf
 De 49 ate 7,  custa: inf
 De 58 ate 60,  custa: 4
 De 58 ate 61,  custa: inf
 De 22 ate 60,  custa: inf
 De 58 ate 62,  custa: inf
 De 22 ate 61,  custa: inf
 De 49 ate 8,  custa: inf
 De 49 ate 9,  custa: 27
 De 22 ate 62,  custa: inf
 De 22 ate 63,  custa: inf
 De 58 ate 63,  custa: inf
 De 58 ate 64,  custa: inf
 De 58 ate 65,  custa: inf
 De 22 ate 64,  custa: inf
 De 58 ate 66,  custa: inf
 De 49 ate 10,  custa: inf
 De 22 ate 65,  custa: inf
 De 22 ate 66,  custa: inf
 De 22 ate 67,  custa: inf
 De 22 ate 68,  custa: inf
 De 49 ate 11,  custa: inf
 De 58 ate 67,  custa: 20
 De 58 ate 68,  custa: inf
 De 58 ate 69,  custa: inf
 De 22 ate 69,  De 58 ate 70,  De 49 ate 12,  custa: inf
 custa: inf
 custa: inf
 De 58 ate 71,  custa: inf
 De 58 ate 72,  custa: inf
 De 22 ate 70,  custa: inf
 De 49 ate 13,  custa: inf
 De 22 ate 71,  custa: 8
 De 22 ate 72,  custa: inf
 De 22 ate 73,  custa: inf
 De 22 ate 74,  custa: inf
 De 58 ate 73,  custa: inf
 De 22 ate 75,  De 49 ate 14,  custa: inf
 custa: inf
 De 49 ate 15,  custa: 2
 De 77 ate 2,  custa: inf
 De 49 ate 16,  custa: 29
 De 58 ate 74,  custa: 18
 De 22 ate 76,  custa: inf
 De 58 ate 75,  custa: inf
 De 49 ate 17,  custa: inf
 De 58 ate 76,  custa: inf
 De 58 ate 77,  custa: inf
 De 22 ate 77,  custa: inf
 De 58 ate 78,  custa: inf
 De 22 ate 78,  custa: inf
 De 49 ate 18,  custa: inf
 De 77 ate 3,  custa: 15
 De 22 ate 79,  custa: inf
 De 22 ate 80,  De 49 ate 19,  custa: inf
 custa: inf
 De 49 ate 20,  custa: 14
 De 49 ate 21,  custa: 15
 De 77 ate 4,  custa: inf
 De 45 ate 26,  custa: inf
 De 45 ate 27,  custa: 25
 De 49 ate 22,  De 77 ate 5,  custa: inf
 custa: inf
 De 49 ate 23,  custa: 15
 De 77 ate 6,  custa: 20
 De 45 ate 28,  custa: inf
 De 22 ate 81,  custa: 21
 De 49 ate 24,  custa: inf
 De 77 ate 7,  custa: inf
 De 45 ate 29,  custa: inf
 De 45 ate 30,  custa: 47
 De 77 ate 8,  custa: inf
 De 49 ate 25,  custa: inf
 De 49 ate 26,  custa: 22
